종목코드,종목명,시장,현재가,예측_5일후_등락률(%)
002880,디와이에이,KOSPI,1085,0.79
026910,광진실업,KOSDAQ,2750,0.78
122870,와이지엔터테인먼트,KOSDAQ,69400,0.78
221840,하이즈항공,KOSDAQ,2195,0.77
462020,에이치엠씨제6호스팩,KOSDAQ,2080,0.77
071850,캐스텍코리아,KOSDAQ,1543,0.77
101140,인바이오젠,KOSPI,10490,0.76
458870,씨어스,KOSDAQ,43390,0.76
067170,오텍,KOSDAQ,1870,0.74
111770,영원무역,KOSPI,81800,0.74
004440,삼일씨엔에스,KOSPI,5990,0.72
006570,대림통상,KOSPI,2240,0.72
010400,우진아이엔에스,KOSPI,4020,0.72
317870,엔바이오니아,KOSDAQ,11410,0.7
086390,유니테스트,KOSDAQ,13580,0.65
000145,하이트진로홀딩스우,KOSPI,12900,0.65
034590,인천도시가스,KOSPI,25450,0.64
096240,크레버스,KOSDAQ,12460,0.64
030960,양지사,KOSDAQ,7790,0.59
023760,한국캐피탈,KOSDAQ,803,0.57
089890,코세스,KOSDAQ,21750,0.57
225430,케이엠제약,KOSDAQ,538,0.56
032860,더라미,KOSDAQ,1323,0.55
101670,하이드로리튬,KOSDAQ,1909,0.54
239610,에이치엘사이언스,KOSDAQ,8090,0.54
178780,일월지엠엘,KOSDAQ,2800,0.53
453450,그리드위즈,KOSDAQ,13640,0.53
108490,로보티즈,KOSDAQ,261000,0.52
032560,황금에스티,KOSPI,5960,0.51
017960,한국카본,KOSPI,29850,0.51
033500,동성화인텍,KOSDAQ,25350,0.51
123690,한국화장품,KOSPI,10040,0.49
002320,한진,KOSPI,19710,0.48
130580,나이스디앤비,KOSDAQ,6410,0.48
114630,폴라리스우노,KOSDAQ,501,0.48
023410,유진기업,KOSDAQ,3635,0.47
357780,솔브레인,KOSDAQ,262000,0.47
417310,코람코더원리츠,KOSPI,8690,0.47
094820,일진파워,KOSDAQ,12700,0.45
203400,에이비온,KOSDAQ,3130,0.45
246720,아스타,KOSDAQ,8270,0.43
270660,에브리봇,KOSDAQ,23150,0.43
068790,DMS,KOSDAQ,9140,0.41
000120,CJ대한통운,KOSPI,94600,0.41
118000,메타케어,KOSPI,305,0.41
002690,동일제강,KOSPI,1630,0.41
005430,한국공항,KOSPI,65000,0.41
088130,동아엘텍,KOSDAQ,3825,0.39
089010,켐트로닉스,KOSDAQ,30600,0.39
200780,비씨월드제약,KOSDAQ,5510,0.38
404990,신한서부티엔디리츠,KOSPI,3595,0.37
084370,유진테크,KOSDAQ,75000,0.36
204840,지엘팜텍,KOSDAQ,1091,0.36
099430,바이오플러스,KOSDAQ,5030,0.36
038950,파인디지털,KOSDAQ,3230,0.36
415640,KB발해인프라,KOSPI,10020,0.34
002390,한독,KOSPI,11200,0.34
284620,카이노스메드,KOSDAQ,1087,0.33
082660,코스나인,KOSDAQ,480,0.33
037400,우리엔터프라이즈,KOSDAQ,992,0.32
234080,JW생명과학,KOSPI,12850,0.32
443060,HD현대마린솔루션,KOSPI,193500,0.31
065450,빅텍,KOSDAQ,3520,0.3
264850,이랜시스,KOSDAQ,6850,0.3
