종목코드,종목명,시장,현재가,RSI,MACD히스토,볼린저위치,거래량배율,종합점수,신호
439090,마녀공장,KOSDAQ,13690,36.0,2.2,0.192,0.66,1,0
439580,블루엠텍,KOSDAQ,4420,37.2,-21.82,0.064,0.51,0,0
440110,파두,KOSDAQ,21250,36.4,-213.6,0.256,0.0,0,0
440290,HB인베스트먼트,KOSDAQ,2140,40.5,-16.41,0.099,1.24,0,0
440320,오픈놀,KOSDAQ,3790,40.7,-14.5,0.137,0.54,0,0
441270,파인엠텍,KOSDAQ,9830,54.1,5.84,0.665,0.87,1,0
443060,HD현대마린솔루션,KOSPI,193500,45.9,1114.34,0.478,0.5,0,0
443250,레뷰코퍼레이션,KOSDAQ,10490,41.6,-148.64,-0.007,0.86,1,0
443670,에스피소프트,KOSDAQ,5450,43.2,-57.18,0.113,0.18,0,0
444530,심플랫폼,KOSDAQ,8580,54.8,84.03,0.979,3.54,-1,0
445090,에이직랜드,KOSDAQ,28600,54.5,182.36,0.654,1.79,0,0
445180,퓨릿,KOSDAQ,8790,53.9,-8.56,0.589,0.65,0,0
